porosity,permeability
14.81291645,9.12E-15
25.87730163,9.01E-15
18.11920964,2.10E-14
28.99068188,2.43E-14
18.54700155,3.21E-15
17.93695797,1.06E-14
15.95666694,1.05E-15
16.79220567,1.07E-15
14.04291845,3.67E-14
17.73043834,6.04E-15
15.79423124,8.16E-15
16.72877847,2.27E-15
16.13196626,6.12E-16
15.404061,1.12E-14
17.23448563,1.07E-14
17.6240528,8.34E-15
16.56641604,1.33E-14
13.41205212,5.34E-14
16.91283882,7.80E-15
10.2562056,6.85E-17
15.90593615,1.12E-14
9.915870293,1.02E-16
8.637096774,7.30E-16
8.014956918,6.27E-16
5.48530004,4.77E-16
8.940986257,1.57E-15
25.40245802,6.57E-15
26.1627907,1.08E-14
26.52537462,1.51E-14
26.72197084,1.12E-14
